,close
2014-01-01,7.426958084106445
2014-01-02,7.406497955322266
2014-01-03,7.3246588706970215
2014-01-06,7.631557941436768
2014-01-07,7.774776935577393
2014-01-08,7.672478199005127
2014-01-09,7.836156845092773
2014-01-10,8.061216354370117
2014-01-13,8.204436302185059
2014-01-14,7.8975372314453125
2014-01-15,7.917996883392334
2014-01-16,7.774776935577393
2014-01-17,7.3655781745910645
2014-01-20,7.242818832397461
2014-01-21,7.2223591804504395
2014-01-22,7.28373908996582
2014-01-23,6.9563798904418945
2014-01-24,6.833620071411133
2014-01-27,6.731319904327393
2014-01-28,6.588100910186768
2014-01-29,6.363040924072266
2014-01-30,6.1175217628479
2014-01-31,5.319583892822266
2014-02-03,5.626482963562012
2014-02-04,5.831082820892334
2014-02-05,6.15844202041626
2014-02-06,6.608561038970947
2014-02-07,6.342580795288086
2014-02-10,6.24028205871582
2014-02-11,6.465341091156006
2014-02-12,6.588100910186768
2014-02-13,6.403961181640625
2014-02-14,6.383501052856445
2014-02-17,6.403961181640625
2014-02-18,6.24028205871582
2014-02-19,5.933382987976074
2014-02-20,5.933382987976074
2014-02-21,6.1789021492004395
2014-02-24,6.097062110900879
2014-02-25,5.8106231689453125
2014-02-26,5.769702911376953
2014-02-27,5.790163040161133
2014-02-28,5.790163040161133
2014-03-03,5.626482963562012
2014-03-04,5.994761943817139
2014-03-05,5.892463207244873
2014-03-06,5.872003078460693
2014-03-07,5.646943092346191
2014-03-10,5.462803840637207
2014-03-11,5.4423441886901855
2014-03-12,5.432114124298096
2014-03-13,5.493494033813477
2014-03-14,5.432114124298096
2014-03-17,5.483263969421387
2014-03-18,5.667403221130371
2014-03-19,5.544643878936768
2014-03-20,5.473033905029297
2014-03-21,5.421884059906006
2014-03-24,5.319583892822266
2014-03-25,5.350274085998535
2014-03-26,5.626482963562012
2014-03-27,5.462803840637207
2014-03-28,5.554873943328857
2014-03-31,5.851542949676514
2014-04-01,6.066371917724609
2014-04-02,6.2607421875
2014-04-03,6.219821929931641
2014-04-04,6.189132213592529
2014-04-07,6.209591865539551
2014-04-08,6.2607421875
2014-04-09,6.076601982116699
2014-04-10,6.107292175292969
2014-04-11,5.994761943817139
2014-04-14,6.04591178894043
2014-04-15,5.882233142852783
2014-04-16,5.902692794799805
2014-04-17,5.984531879425049
2014-04-18,6.015222072601318
2014-04-21,6.1175217628479
2014-04-22,6.04591178894043
2014-04-23,6.04591178894043
2014-04-24,5.892463207244873
2014-04-25,5.667403221130371
2014-04-28,5.585564136505127
2014-04-29,5.565104007720947
2014-04-30,5.769702911376953
2014-05-01,5.769702911376953
2014-05-02,5.851542949676514
2014-05-05,5.892463207244873
2014-05-06,5.892463207244873
2014-05-07,5.8617730140686035
2014-05-08,5.943613052368164
2014-05-09,6.035682201385498
2014-05-12,5.974301815032959
2014-05-13,5.9129228591918945
2014-05-14,5.933382987976074
2014-05-15,5.779932975769043
2014-05-16,5.749242782592773
2014-05-19,5.749242782592773
2014-05-20,5.769702911376953
2014-05-21,5.790163040161133
2014-05-22,5.831082820892334
2014-05-23,5.820853233337402
2014-05-26,5.892463207244873
2014-05-27,5.800393104553223
2014-05-28,5.800393104553223
2014-05-29,5.820853233337402
2014-05-30,5.779932975769043
2014-06-02,5.800393104553223
2014-06-03,5.779932975769043
2014-06-04,5.749242782592773
2014-06-05,5.8106231689453125
2014-06-06,5.820853233337402
2014-06-09,6.097062110900879
2014-06-10,6.14821195602417
2014-06-11,5.851542949676514
2014-06-12,5.8617730140686035
2014-06-13,5.800393104553223
2014-06-16,5.616252899169922
2014-06-17,5.779932975769043
2014-06-18,5.943613052368164
2014-06-19,5.9129228591918945
2014-06-20,5.8617730140686035
2014-06-23,5.8106231689453125
2014-06-24,5.779932975769043
2014-06-25,5.800393104553223
2014-06-26,5.739013195037842
2014-06-27,5.739013195037842
2014-06-30,5.718553066253662
2014-07-01,5.626482963562012
2014-07-02,5.565104007720947
2014-07-03,5.565104007720947
2014-07-04,5.524184226989746
2014-07-07,5.565104007720947
2014-07-08,5.513954162597656
2014-07-09,5.524184226989746
2014-07-10,5.401423931121826
2014-07-11,5.4423441886901855
2014-07-14,5.473033905029297
2014-07-15,5.483263969421387
