,close
2014-01-01,6.291134357452393
2014-01-02,6.21298360824585
2014-01-03,6.26182746887207
2014-01-06,6.554892539978027
2014-01-07,6.681887626647949
2014-01-08,6.6330437660217285
2014-01-09,6.711194038391113
2014-01-10,6.9456467628479
2014-01-13,7.0042595863342285
2014-01-14,7.053103446960449
2014-01-15,7.150792598724365
2014-01-16,7.014028072357178
2014-01-17,6.6330437660217285
2014-01-20,6.847958564758301
2014-01-21,6.965184688568115
2014-01-22,7.092179775238037
2014-01-23,6.828420162200928
2014-01-24,6.906571388244629
2014-01-27,6.906571388244629
2014-01-28,6.76003885269165
2014-01-29,6.85772705078125
2014-01-30,6.8186516761779785
2014-01-31,6.584198951721191
2014-02-03,6.593968391418457
2014-02-04,6.779576301574707
2014-02-05,6.828420162200928
2014-02-06,6.965184688568115
2014-02-07,6.877264499664307
2014-02-10,6.877264499664307
2014-02-11,6.847958564758301
2014-02-12,6.896801948547363
2014-02-13,7.014028072357178
2014-02-14,6.9456467628479
2014-02-17,6.906571388244629
2014-02-18,6.691656589508057
2014-02-19,6.623275279998779
2014-02-20,6.750269889831543
2014-02-21,6.691656589508057
2014-02-24,6.711194038391113
2014-02-25,6.506048679351807
2014-02-26,6.427897930145264
2014-02-27,6.388822555541992
2014-02-28,6.427897930145264
2014-03-03,6.193446159362793
2014-03-04,6.3985915184021
2014-03-05,6.3985915184021
2014-03-06,6.525586128234863
2014-03-07,6.164139270782471
2014-03-10,5.880843162536621
2014-03-11,5.949224948883057
2014-03-12,6.037144184112549
2014-03-13,6.134832859039307
2014-03-14,6.085988521575928
2014-03-17,6.144601345062256
2014-03-18,6.252058982849121
2014-03-19,5.988300323486328
2014-03-20,6.046913146972656
2014-03-21,5.998068332672119
2014-03-24,5.861305236816406
2014-03-25,5.949224948883057
2014-03-26,6.134832859039307
2014-03-27,6.0566816329956055
2014-03-28,6.203214645385742
2014-03-31,6.437666893005371
2014-04-01,6.506048679351807
2014-04-02,6.681887626647949
2014-04-03,6.662350177764893
2014-04-04,6.672118663787842
2014-04-07,6.711194038391113
2014-04-08,6.750269889831543
2014-04-09,6.574430465698242
2014-04-10,6.593968391418457
2014-04-11,6.554892539978027
2014-04-14,6.623275279998779
2014-04-15,6.506048679351807
2014-04-16,6.564661502838135
2014-04-17,6.613505840301514
2014-04-18,6.681887626647949
2014-04-21,6.7405009269714355
2014-04-22,6.662350177764893
2014-04-23,6.662350177764893
2014-04-24,6.554892539978027
2014-04-25,6.388822555541992
2014-04-28,6.437666893005371
2014-04-29,6.408360481262207
2014-04-30,6.593968391418457
2014-05-01,6.593968391418457
2014-05-02,6.593968391418457
2014-05-05,6.496279716491699
2014-05-06,6.535355567932129
2014-05-07,6.506048679351807
2014-05-08,6.6037373542785645
2014-05-09,6.545124053955078
2014-05-12,6.642812728881836
2014-05-13,6.769806861877441
2014-05-14,6.916339874267578
2014-05-15,6.711194038391113
2014-05-16,6.730731964111328
2014-05-19,6.730731964111328
2014-05-20,6.711194038391113
2014-05-21,6.808882713317871
2014-05-22,6.887033462524414
2014-05-23,6.887033462524414
2014-05-26,6.984722137451172
2014-05-27,6.906571388244629
2014-05-28,6.877264499664307
2014-05-29,6.95541524887085
2014-05-30,6.965184688568115
2014-06-02,7.023797035217285
2014-06-03,6.965184688568115
2014-06-04,6.877264499664307
2014-06-05,6.965184688568115
2014-06-06,7.0433349609375
2014-06-09,7.014028072357178
