date,BIST100,USD_TRY,advancing_stocks,declining_stocks,CPI,CBRT_Rate,5Y_CDS_Spread
2014-03-31,697.3592529296875,2.1757800579071045,10,1,8.39,10.0,211.26
2014-04-01,708.5701904296875,2.1373701095581055,7,3,8.39,10.0,211.98
2014-04-02,706.4762573242188,2.1365699768066406,5,5,8.39,10.0,209.61
2014-04-03,715.4442138671875,2.1266698837280273,6,3,8.39,10.0,208.3
2014-04-04,725.8251342773438,2.1325700283050537,9,1,8.39,10.0,202.56
2014-04-07,724.8871459960938,2.112260103225708,5,5,8.39,10.0,207.26
2014-04-08,739.4611206054688,2.1107099056243896,8,2,8.39,10.0,202.25
2014-04-09,724.2821655273438,2.0933001041412354,0,10,8.39,10.0,200.68
2014-04-10,731.4981079101562,2.101409912109375,10,1,8.39,10.0,194.29
2014-04-11,727.359130859375,2.110179901123047,2,7,8.39,10.0,198.72
2014-04-14,737.7451171875,2.11641001701355,9,1,8.39,10.0,204.14
2014-04-15,724.3761596679688,2.1211700439453125,2,8,8.39,10.0,201.91
2014-04-16,723.9901733398438,2.1419599056243896,6,3,8.39,10.0,199.69
2014-04-17,735.6140747070312,2.1348299980163574,9,1,8.39,10.0,197.81
2014-04-18,734.756103515625,2.1268699169158936,4,4,8.39,10.0,200.1
2014-04-21,734.4630737304688,2.12992000579834,5,5,8.39,10.0,195.73
2014-04-22,731.6961059570312,2.1325600147247314,2,6,8.39,10.0,197.49
2014-04-24,723.9091796875,2.1509900093078613,5,5,8.39,10.0,200.97
2014-04-25,713.8832397460938,2.1339499950408936,1,8,8.39,10.0,203.15
2014-04-28,723.9811401367188,2.1352200508117676,5,4,8.39,10.0,201.12
2014-04-29,723.1461791992188,2.1275599002838135,3,4,8.39,10.0,197.95
2014-04-30,738.7111206054688,2.121000051498413,9,1,8.39,10.0,196.36
2014-05-02,751.5870361328125,2.1058599948883057,5,1,9.38,10.0,188.91
2014-05-05,747.60400390625,2.1039700508117676,3,7,9.38,10.0,187.87
2014-05-06,751.8990478515625,2.0991899967193604,7,2,9.38,10.0,184.91
2014-05-07,749.6680297851562,2.0891900062561035,2,7,9.38,10.0,183.14
2014-05-08,757.81298828125,2.080579996109009,8,1,9.38,10.0,176.89
2014-05-09,755.6259765625,2.075860023498535,2,7,9.38,10.0,181.74
2014-05-12,759.3519897460938,2.075269937515259,5,4,9.38,10.0,182.63
2014-05-13,757.760986328125,2.0806798934936523,4,4,9.38,10.0,179.53
2014-05-14,760.4739990234375,2.067389965057373,9,1,9.38,10.0,179.69
2014-05-15,752.280029296875,2.0706799030303955,2,7,9.38,10.0,186.8
2014-05-16,750.0890502929688,2.0981900691986084,5,5,9.38,10.0,186.85
2014-05-20,752.5490112304688,2.0950100421905518,5,3,9.38,10.0,186.1
2014-05-21,764.5419921875,2.111569881439209,10,1,9.38,10.0,184.83
2014-05-22,780.4278564453125,2.0929598808288574,9,1,9.38,10.0,183.18
2014-05-23,780.6018676757812,2.081279993057251,1,6,9.38,10.0,182.18
2014-05-26,786.02783203125,2.0793299674987793,9,1,9.38,9.5,182.18
2014-05-27,775.327880859375,2.082429885864258,5,5,9.38,9.5,184.61
2014-05-28,779.9498291015625,2.100830078125,4,4,9.38,9.5,182.85
2014-05-29,792.9957885742188,2.0972700119018555,9,1,9.38,9.5,182.64
2014-05-30,792.893798828125,2.0871899127960205,3,5,9.38,9.5,180.46
2014-06-02,786.4838256835938,2.0954198837280273,6,2,9.66,9.5,181.09
2014-06-03,788.1787719726562,2.1070098876953125,5,5,9.66,9.5,182.76
2014-06-04,783.8428344726562,2.116990089416504,3,5,9.66,9.5,187.05
2014-06-05,798.0258178710938,2.1143898963928223,8,1,9.66,9.5,183.11
2014-06-06,803.9717407226562,2.0973598957061768,6,2,9.66,9.5,173.15
2014-06-09,807.5337524414062,2.077199935913086,4,4,9.66,9.5,169.89
2014-06-10,816.7156372070312,2.0858700275421143,9,1,9.66,9.5,175.5
2014-06-11,790.2017822265625,2.0786800384521484,0,10,9.66,9.5,180.12
2014-06-12,798.3388061523438,2.1131300926208496,5,4,9.66,9.5,179.09
2014-06-13,790.11181640625,2.1111700534820557,3,6,9.66,9.5,180.35
2014-06-16,776.452880859375,2.123159885406494,1,8,9.66,9.5,184.32
2014-06-17,780.15283203125,2.142469882965088,6,4,9.66,9.5,185.16
2014-06-18,780.9248657226562,2.149009943008423,7,2,9.66,9.5,181.43
2014-06-19,790.5687866210938,2.1233201026916504,6,3,9.66,9.5,175.77
2014-06-20,784.0028686523438,2.140170097351074,1,7,9.66,9.5,183.58
2014-06-23,793.2608032226562,2.1428799629211426,3,5,9.66,9.5,181.31
2014-06-24,789.8568115234375,2.1356101036071777,4,5,9.66,9.5,178.16
2014-06-25,789.9747924804688,2.141390085220337,5,5,9.66,9.5,175.71
2014-06-26,781.036865234375,2.1294798851013184,0,9,9.66,8.75,172.63
2014-06-27,784.7198486328125,2.1251699924468994,6,2,9.66,8.75,175.06
2014-06-30,784.8858642578125,2.12349009513855,3,7,9.66,8.75,177.74
2014-07-01,771.06591796875,2.117300033569336,1,9,9.16,8.75,179.68
2014-07-02,768.3139038085938,2.128070116043091,5,4,9.16,8.75,179.92
2014-07-03,775.2808837890625,2.1293299198150635,6,2,9.16,8.75,179.93
2014-07-04,775.3439331054688,2.127700090408325,2,7,9.16,8.75,179.44
2014-07-07,789.5067749023438,2.1321001052856445,9,1,9.16,8.75,177.96
2014-07-08,792.90380859375,2.128469944000244,4,4,9.16,8.75,177.44
2014-07-09,794.5838012695312,2.1238999366760254,4,5,9.16,8.75,178.45
2014-07-10,785.5118408203125,2.114880084991455,0,9,9.16,8.75,178.55
2014-07-11,793.6397705078125,2.1226799488067627,8,2,9.16,8.75,176.06
2014-07-14,806.2117309570312,2.1190199851989746,8,1,9.16,8.75,179.34
2014-07-15,812.4466552734375,2.1159799098968506,8,1,9.16,8.75,181.11
2014-07-16,822.7006225585938,2.123379945755005,7,2,9.16,8.75,180.68
2014-07-17,817.82763671875,2.1204800605773926,1,8,9.16,8.75,184.18
2014-07-18,823.140625,2.139820098876953,6,4,9.16,8.75,183.32
2014-07-21,822.6986083984375,2.1247799396514893,4,4,9.16,8.25,182.96
2014-07-22,825.3005981445312,2.1176700592041016,4,2,9.16,8.25,181.64
2014-07-23,828.5416259765625,2.105870008468628,4,4,9.16,8.25,178.94
2014-07-24,838.2425537109375,2.0875799655914307,5,3,9.16,8.25,174.88
2014-07-25,842.175537109375,2.090240001678467,5,4,9.16,8.25,175.77
2014-07-31,821.5646362304688,2.1313700675964355,2,8,9.32,8.25,183.89
2014-08-01,820.9346923828125,2.1400699615478516,5,5,9.32,8.25,185.21
2014-08-04,818.9286499023438,2.130389928817749,5,4,9.32,8.25,185.46
2014-08-05,806.4147338867188,2.129699945449829,2,8,9.32,8.25,188.54
2014-08-06,794.3187866210938,2.151510000228882,2,8,9.32,8.25,193.2
2014-08-07,788.4287719726562,2.158519983291626,4,5,9.32,8.25,192.75
2014-08-08,791.9898071289062,2.167870044708252,4,4,9.32,8.25,194.19
2014-08-11,772.7089233398438,2.1372499465942383,0,10,9.32,8.25,192.98
2014-08-12,778.267822265625,2.149169921875,7,3,9.32,8.25,192.74
2014-08-13,776.181884765625,2.1634700298309326,5,5,9.32,8.25,188.05
2014-08-14,775.6948852539062,2.155179977416992,3,5,9.32,8.25,182.92
2014-08-15,766.9169311523438,2.1520800590515137,2,7,9.32,8.25,184.47
2014-08-18,773.4169311523438,2.165800094604492,8,1,9.32,8.25,184.11
2014-08-19,792.7547607421875,2.16336989402771,9,1,9.32,8.25,180.75
2014-08-20,788.664794921875,2.162600040435791,2,7,9.32,8.25,184.0
2014-08-21,789.57080078125,2.1824700832366943,6,2,9.32,8.25,181.42
2014-08-22,789.2918090820312,2.176680088043213,6,3,9.32,8.25,182.9
2014-08-25,792.6198120117188,2.1792500019073486,7,2,9.32,8.25,182.64
