fold,train_size,test_size,test_start,test_end,test_sharpe,test_max_dd,rmse,directional_accuracy,mean_strategy_return
0.0,498.0,513.0,513.0,1025.0,-0.5084391051253727,-0.3820093046397186,0.014550798679371002,0.48927875243664715,-0.00046572562929338656
1.0,1011.0,513.0,1026.0,1538.0,-1.0404951975510084,-0.609712286193469,0.021599634097524613,0.49902534113060426,-0.0014135018599843044
2.0,1524.0,513.0,1539.0,2051.0,-0.014058419479506633,-0.4526390988151858,0.02320725955880242,0.4600389863547758,-2.0570753842135804e-05
3.0,2037.0,513.0,2052.0,2564.0,-1.1176511135998262,-0.6326944851838776,0.02123640428523426,0.4580896686159844,-0.00149094206276137
4.0,2550.0,513.0,2565.0,3077.0,0.17568747398162288,-0.32457506396680236,0.015423527881314706,0.4951267056530214,0.00017085591931156167
